timestamp,station_id,location,energy_kwh,temperature,humidity,rain_mm,traffic_volume
2025-05-01 00:00:00,STN101,Chennai,29.85,30.9,79,0.0,697
2025-05-01 01:00:00,STN101,Chennai,17.46,34.6,80,3.7,362
2025-05-01 02:00:00,STN101,Chennai,16.77,29.1,88,0.0,582
2025-05-01 03:00:00,STN101,Chennai,19.58,30.5,75,0.0,317
2025-05-01 04:00:00,STN101,Chennai,16.57,35.2,69,0.0,394
2025-05-01 05:00:00,STN101,Chennai,21.18,28.1,66,1.3,694
2025-05-01 06:00:00,STN101,Chennai,18.07,33.4,84,0.0,557
2025-05-01 07:00:00,STN101,Chennai,14.21,30.7,61,0.0,669
2025-05-01 08:00:00,STN101,Chennai,18.26,34.2,67,2.8,489
2025-05-01 09:00:00,STN101,Chennai,22.89,32.9,71,0.0,608
2025-05-01 10:00:00,STN101,Chennai,12.69,35.1,86,0.0,564
2025-05-01 11:00:00,STN101,Chennai,23.97,24.6,80,0.0,526
2025-05-01 12:00:00,STN101,Chennai,21.06,26.1,63,0.0,413
2025-05-01 13:00:00,STN101,Chennai,11.03,28.0,64,3.7,643
2025-05-01 14:00:00,STN101,Chennai,10.6,27.2,66,0.0,610
2025-05-01 15:00:00,STN101,Chennai,23.11,25.1,79,0.0,363
2025-05-01 16:00:00,STN101,Chennai,19.28,25.3,69,4.1,370
2025-05-01 17:00:00,STN101,Chennai,15.87,32.1,81,0.0,616
2025-05-01 18:00:00,STN101,Chennai,18.24,36.1,77,0.0,748
2025-05-01 19:00:00,STN101,Chennai,15.45,25.9,72,0.0,611
2025-05-01 20:00:00,STN101,Chennai,14.9,29.0,87,0.0,362
2025-05-01 21:00:00,STN101,Chennai,22.7,31.2,86,0.0,761
2025-05-01 22:00:00,STN101,Chennai,13.99,29.7,86,0.0,385
2025-05-01 23:00:00,STN101,Chennai,19.01,28.1,67,0.0,451
2025-05-02 00:00:00,STN101,Chennai,13.44,31.8,84,1.4,337
2025-05-02 01:00:00,STN101,Chennai,27.17,33.2,75,0.0,406
2025-05-02 02:00:00,STN101,Chennai,22.37,33.1,85,0.0,784
2025-05-02 03:00:00,STN101,Chennai,19.19,29.4,89,2.0,432
2025-05-02 04:00:00,STN101,Chennai,17.88,33.4,63,4.5,330
2025-05-02 05:00:00,STN101,Chennai,14.61,30.0,84,0.0,336
2025-05-02 06:00:00,STN101,Chennai,18.75,30.5,81,0.0,415
2025-05-02 07:00:00,STN101,Chennai,26.38,28.6,61,0.0,568
2025-05-02 08:00:00,STN101,Chennai,22.36,31.4,63,0.0,602
2025-05-02 09:00:00,STN101,Chennai,22.25,26.5,63,0.0,448
2025-05-02 10:00:00,STN101,Chennai,21.51,26.0,71,2.6,431
2025-05-02 11:00:00,STN101,Chennai,15.13,27.6,71,0.0,656
2025-05-02 12:00:00,STN101,Chennai,20.44,27.0,85,0.0,353
2025-05-02 13:00:00,STN101,Chennai,16.97,32.8,89,0.0,782
2025-05-02 14:00:00,STN101,Chennai,17.14,34.8,86,3.6,449
2025-05-02 15:00:00,STN101,Chennai,18.92,31.2,76,0.0,782
2025-05-02 16:00:00,STN101,Chennai,22.7,30.6,60,0.0,511
2025-05-02 17:00:00,STN101,Chennai,26.36,33.8,84,0.0,505
2025-05-02 18:00:00,STN101,Chennai,23.42,32.5,66,0.0,516
2025-05-02 19:00:00,STN101,Chennai,19.25,30.4,68,0.0,494
2025-05-02 20:00:00,STN101,Chennai,15.48,25.8,79,0.0,464
2025-05-02 21:00:00,STN101,Chennai,16.41,30.9,63,0.0,799
